id	"Comp. Word"	Frequency	Pronunciation	"English Translation"
1	問題	238663	mondai	question
2	首相	224822	syusyoo	"Prime Minister"
3	写真	211918	syasin	photograph
4	現在	193742	genzai	now
5	世界	183195	sekai	"the world"
6	政府	181556	seihu	government
7	説明	174920	setumei	explanation
8	交渉	170891	koosyoo	negotiations
9	代表	162696	daihyoo	representative
10	委員	150054	iin	"committee member"
11	関係	146333	kankei	relation
12	事件	142862	ziken	event
13	発表	140557	happyoo	announcement
14	経済	139962	keizai	economics
15	昨年	138391	sakunen	"last year"
16	表示	136067	hyoozi	indication
17	情報	135096	zyoohoo	news
18	社会	133618	syakai	society
19	時間	133613	zikan	time
20	容疑	130370	yoogi	suspect
21	大会	129583	taikai	convention
22	監督	128290	kantoku	supervision
23	著作	127950	tyosaku	writing
24	必要	126985	hituyoo	necessary
25	会社	124229	kaisya	company
26	本文	123894	honbun	text
27	調査	123787	tyoosa	investigation
28	選手	122240	sensyu	player
29	以上	121572	izyoo	"not less than"
30	野球	121270	yakyuu	baseball
31	国際	120870	kokusai	international
32	企業	114671	kigyoo	enterprise
33	女性	114178	zyosei	woman
34	可能	112430	kanoo	potential
35	選挙	111854	senkyo	election
36	自分	110715	zibun	myself
37	全国	110372	zenkoku	countrywide
38	試合	107924	siai	match
39	政治	104674	seizi	politics
40	政権	101593	seiken	administration
41	今年	99761	kotosi	"this year"
42	会議	97984	kaigi	meeting
43	国民	96900	kokumin	nation
44	会長	96737	kaityoo	president
45	支援	93865	sien	support
46	研究	92835	kenkyuu	study
47	社長	92765	syatyoo	"company president"
48	議員	91841	giin	"member of the Diet, congress or parliament"
49	電話	91709	denwa	"telephone call"
50	午後	90108	gogo	afternoon
51	事業	89625	zigyoo	project
52	時代	87667	zidai	period
53	優勝	86887	yuusyoo	"overall victory"
54	改革	86437	kaikaku	reform
55	参加	85638	sanka	participation
56	金融	83945	kinyuu	financing
57	共同	83899	kyoodoo	"doing together"
58	今回	83462	konkai	now
59	結果	82621	kekka	result
60	五輪	81749	gorin	"the Olympics"
61	政策	80580	seisaku	"political measures"
62	記者	78627	kisya	reporter
63	活動	78090	katudoo	action
64	午前	77769	gozen	morning
65	場合	77619	baai	case
66	制度	77296	seido	system
67	方針	76485	hoosin	objective
68	地域	76310	tiiki	area
69	女子	76079	zyosi	woman
70	会見	75183	kaiken	interview
71	協議	74885	kyoogi	conference
72	対策	74068	taisaku	measure
73	指摘	73359	siteki	"pointing out"
74	生活	73275	seikatu	living
75	連続	72174	renzoku	serial
76	出場	72100	syutuzyoo	appearance
77	決定	71642	kettei	decision
78	環境	70834	kankyoo	environment
79	最終	70731	saisyuu	last
80	影響	70682	eikyoo	influence
81	機関	70227	kikan	engine
82	市場	69986	sizyoo	market
83	教授	69910	kyoozyu	professor
84	開発	69835	kaihatu	development
85	報告	69746	hookoku	report
86	販売	69232	hanbai	sales
87	検討	68934	kentoo	consideration
88	男性	68928	dansei	man
89	予定	68923	yotei	plans
90	年度	68773	nendo	"fiscal year"
91	長官	67774	tyookan	secretary
92	逮捕	67684	taiho	arrest
93	経営	67494	keiei	management
94	計画	67487	keikaku	plan
95	被害	67131	higai	damage
96	国会	67038	kokkai	"National Diet"
97	子供	65559	kodomo	child
98	対象	65512	taisyoo	target
99	対応	64244	taioo	interaction
100	判断	64033	handan	judgement
101	担当	63654	tantoo	"being in charge"
102	国内	63535	kokunai	internal
103	大学	63448	daigaku	"post-secondary education institution, incl. university, college, etc."
104	教育	63417	kyooiku	training
105	支持	63236	sizi	support
106	決勝	62746	kessyoo	"decision of a contest"
107	実施	62343	zissi	enforcement
108	会談	62217	kaidan	conversation
109	批判	62123	hihan	criticism
110	今後	62023	kongo	"from now on"
111	当時	61147	toozi	"at that time"
112	高校	61031	kookoo	"senior high school"
113	男子	60526	dansi	youth
114	団体	60511	dantai	organization
115	被告	60441	hikoku	defendant
116	安全	60307	anzen	safety
117	中心	60275	tyuusin	center
118	地方	60075	tihoo	district
119	記録	59875	kiroku	record
120	協力	59809	kyooryoku	cooperation
121	事故	59318	ziko	accident
122	責任	59232	sekinin	duty
123	関連	59084	kanren	relation
124	学校	59054	gakkoo	school
125	協会	58739	kyookai	association
126	保険	58594	hoken	insurance
127	期待	57795	kitai	expectation
128	技術	57528	gizyutu	art
129	家族	57371	kazoku	family
130	病院	57224	byooin	hospital
131	組織	57210	sosiki	organization
132	理事	57001	rizi	director
133	死亡	56936	siboo	death
134	作品	56451	sakuhin	work
135	施設	56422	sisetu	institution
136	確認	56273	kakunin	confirmation
137	言葉	55907	kotoba	language
138	利用	55147	riyoo	use
139	年間	54381	nenkan	year
140	評価	54248	hyooka	valuation
141	候補	53816	kooho	candidate
142	戦争	53788	sensoo	war
143	消費	53733	syoohi	consumption
144	個人	53575	kozin	individual
145	幹部	53544	kanbu	management
146	状況	53045	zyookyoo	"state of affairs"
147	捜査	52772	soosa	search
148	特別	52481	tokubetu	special
149	意見	52177	iken	opinion
150	映画	51917	eiga	movie
151	医療	51179	iryoo	"medical care"
152	内容	50285	naiyoo	subject
153	資金	50209	sikin	funds
154	以来	49906	irai	since
155	開催	49630	kaisai	"holding a meeting"
156	反対	49073	hantai	opposition
157	判決	49056	hanketu	"judicial decision"
158	以降	48749	ikoo	"on and after"
159	報道	48505	hoodoo	information
160	銀行	48449	ginkoo	bank
161	指導	48264	sidoo	leadership
162	理由	47954	riyuu	reason
163	投票	47841	toohyoo	voting
164	合意	47582	gooi	agreement
165	表明	47474	hyoomei	declaration
166	攻撃	47303	koogeki	attack
167	管理	46863	kanri	control
168	過去	46813	kako	"the past"
169	相手	46710	aite	companion
170	姿勢	46677	sisei	attitude
171	予算	46515	yosan	estimate
172	本部	46330	honbu	headquarters
173	一部	46289	itibu	"one part"
174	仕事	46239	sigoto	work
175	拡大	45995	kakudai	magnification
176	民主	45932	minsyu	democracy
177	改正	45484	kaisei	revision
178	最大	45440	saidai	biggest
179	与党	45435	yotoo	"ruling party"
180	科学	45302	kagaku	science
181	中央	45226	tyuuoo	centre
182	人間	45183	ningen	"human being"
183	最高	44925	saikoo	highest
184	強化	44839	kyooka	strengthen
185	価格	44749	kakaku	price
186	年金	44700	nenkin	annuity
187	住民	44565	zyuumin	citizens
188	文化	44533	bunka	culture
189	内閣	44307	naikaku	cabinet
190	記事	44069	kizi	article
191	最後	44039	saigo	last
192	放送	43992	hoosoo	broadcast
193	主張	43845	syutyoo	claim
194	投資	43670	toosi	investment
195	自由	43325	ziyuu	freedom
196	取引	42377	torihiki	transactions
197	削減	42329	sakugen	cut
198	強調	42255	kyootyoo	emphasis
199	障害	42189	syoogai	obstacle
200	総合	42096	soogoo	synthesis
201	来年	42087	rainen	"next year"
202	人気	42064	ninki	popularity
203	財政	41934	zaisei	"financial affairs"
204	専門	41832	senmon	speciality
205	投手	41832	toosyu	pitcher
206	重要	41813	zyuuyoo	important
207	法案	41674	hooan	bill
208	首脳	41672	syunoo	head
209	建設	41659	kensetu	construction
210	基本	41520	kihon	foundation
211	安打	41445	anda	"safe hit"
212	国家	41269	kokka	state
213	同社	41121	doosya	"the same firm"
214	裁判	40926	saiban	trial
215	市民	40896	simin	citizen
216	提出	40775	teisyutu	"to present"
217	保護	40729	hogo	care
218	派遣	40666	haken	dispatch
219	負担	40646	hutan	burden
220	効果	40590	kooka	effect
221	外交	40503	gaikoo	diplomacy
222	事務	40474	zimu	business
223	全体	40474	zentai	whole
224	法人	40355	hoozin	"corporate body"
225	違反	40197	ihan	violation
226	目標	40169	mokuhyoo	mark
227	予選	40148	yosen	"preliminary contest"
228	歴史	40132	rekisi	history
229	事実	40130	zizitu	fact
230	成長	40130	seityoo	growth
231	外相	40085	gaisyoo	"Foreign Minister"
232	公開	39589	kookai	"opening to the public"
233	患者	39528	kanzya	patient
234	一般	39274	ippan	general
235	海外	39080	kaigai	foreign
236	出身	39020	syussin	"person's origin"
237	外国	38798	gaikoku	"foreign country"
238	自宅	38781	zitaku	"one's home"
239	回戦	38495	kaisen	match
240	使用	38494	siyoo	use
241	契約	38393	keiyaku	contract
242	議論	38228	giron	argument
243	県警	38215	kenkei	"prefectural police"
244	職員	38190	syokuin	"staff member"
245	導入	38113	doonyuu	introduction
246	住宅	38045	zyuutaku	residence
247	幹事	38005	kanzi	"executive secretary"
248	生産	37922	seisan	production
249	地震	37897	zisin	earthquake
250	処分	37895	syobun	disposal
251	発言	37885	hatugen	utterance
252	就任	37839	syuunin	inauguration
253	経験	37752	keiken	experience
254	場所	37589	basyo	place
255	提供	37542	teikyoo	offer
256	今月	37371	kongetu	"this month"
257	状態	37309	zyootai	"current status"
258	学生	37242	gakusei	student
259	現場	37182	genba	"actual spot"
260	危機	37175	kiki	crisis
261	時半	36896	zihan	"about an hour"
262	実現	36802	zitugen	implementation
263	今季	36648	konki	"this season"
264	記念	36468	kinen	commemoration
265	都市	36448	tosi	town
266	同日	36378	doozitu	"the same day"
267	主義	36357	syugi	doctrine
268	展開	36357	tenkai	development
269	地裁	36349	tisai	"district court"
270	議長	36164	gityoo	chairman
271	回復	35990	kaihuku	restoration
272	景気	35952	keiki	condition
273	大手	35900	oote	"major company"
274	労働	35874	roodoo	"manual labor"
275	知事	35772	tizi	"prefectural governor"
276	地元	35750	zimoto	"home area"
277	審議	35664	singi	deliberation
278	意味	35624	imi	meaning
279	課題	35432	kadai	subject
280	設置	35195	setti	establishment
281	規模	35071	kibo	scale
282	平和	34994	heiwa	peace
283	新聞	34790	sinbun	newspaper
284	行政	34746	gyoosei	administration
285	平均	34690	heikin	average
286	開始	34680	kaisi	start
287	意識	34656	isiki	consciousness
288	産業	34584	sangyoo	industry
289	局長	34270	kyokutyoo	"bureau director"
290	発生	34270	hassei	outbreak
291	当選	34262	toosen	"being elected"
292	取材	34235	syuzai	"news coverage"
293	調整	33987	tyoosei	regulation
294	存在	33809	sonzai	existence
295	獲得	33772	kakutoku	acquisition
296	商品	33656	syoohin	commodity
297	検査	33509	kensa	inspection
298	少年	33443	syoonen	boy
299	作業	33433	sagyoo	work
300	基準	33274	kizyun	standard
301	人物	33229	zinbutu	character
302	音楽	33201	ongaku	music
303	死去	33188	sikyo	death
304	自然	33156	sizen	nature
305	最近	32920	saikin	"most recent"
306	登板	32869	tooban	"taking the plate"
307	世紀	32655	seiki	century
308	運転	32585	unten	operation
309	得点	32534	tokuten	score
310	不安	32309	huan	anxiety
311	医師	32234	isi	doctor
312	懸念	32221	kenen	worry
313	運動	32216	undoo	exercise
314	練習	32092	rensyuu	practice
315	開幕	31775	kaimaku	"raising the curtain"
316	憲法	31773	kenpoo	constitution
317	理解	31677	rikai	understanding
318	地区	31676	tiku	district
319	連合	31674	rengoo	union
320	総裁	31604	soosai	president
321	解決	31540	kaiketu	settlement
322	改善	31534	kaizen	betterment
323	維持	31363	izi	maintenance
324	株式	31200	kabusiki	stock
325	民間	31160	minkan	private
326	措置	31150	soti	measure
327	処理	31136	syori	processing
328	原因	31121	genin	cause
329	勝利	31108	syoori	victory
330	予想	31108	yosoo	expectation
331	市内	31053	sinai	city
332	機構	30947	kikoo	mechanism
333	官房	30862	kanboo	"government secretariat"
334	規制	30846	kisei	regulation
335	訪問	30844	hoomon	call
336	注目	30784	tyuumoku	notice
337	具体	30609	gutai	concrete
338	野党	30533	yatoo	"opposition party"
339	要求	30509	yookyuu	demand
340	公表	30313	koohyoo	"official announcement"
341	部長	30212	butyoo	"of a section or department"
342	目的	30136	mokuteki	purpose
343	紹介	30006	syookai	introduction
344	行動	29960	koodoo	action
345	番組	29930	bangumi	program
346	道路	29867	dooro	road
347	保障	29847	hosyoo	guarantee
348	体制	29699	taisei	order
349	業務	29671	gyoomu	business
350	当局	29638	tookyoku	authorities
351	以下	29607	ika	"not exceeding"
352	以外	29561	igai	"with the exception of"
353	警察	29534	keisatu	police
354	防衛	29521	booei	defense
355	競技	29520	kyoogi	game
356	携帯	29469	keitai	"something carried"
357	健康	29380	kenkoo	health
358	受賞	29111	zyusyoo	winning
359	高齢	29100	koorei	age
360	後半	29042	koohan	"second half"
361	都内	28998	tonai	"metropolitan area"
362	証券	28729	syooken	securities
363	提案	28693	teian	proposal
364	数字	28647	suuzi	numeral
365	程度	28636	teido	degree
366	表現	28561	hyoogen	expression
367	舞台	28553	butai	stage
368	訴訟	28551	sosyoo	litigation
369	主催	28470	syusai	sponsorship
370	発売	28468	hatubai	sale
371	先発	28314	senpatu	forerunner
372	運営	28246	unei	management
373	方法	28215	hoohoo	method
374	禁止	28207	kinsi	prohibition
375	広場	28193	hiroba	plaza
376	挑戦	28154	tyoosen	challenge
377	希望	28142	kiboo	hope
378	質問	28097	situmon	question
379	再生	28096	saisei	resuscitation
380	前年	28022	zennen	"the preceding year"
381	条件	27992	zyooken	condition
382	感染	27991	kansen	infection
383	防止	27931	boosi	prevention
384	精神	27838	seisin	mind
385	戦略	27741	senryaku	strategy
386	見方	27677	mikata	viewpoint
387	安定	27606	antei	stability
388	期間	27469	kikan	period
389	整備	27465	seibi	maintenance
390	総務	27340	soomu	"general affairs"
391	相談	27338	soodan	consultation
392	自治	27246	ziti	self-government
393	作家	27150	sakka	author
394	要請	27064	yoosei	appeal
395	背景	27058	haikei	background
396	確保	27050	kakuho	guarantee
