"id	Kanji	""Reading within Joyo""	""Translation of On""",,,
"1	亜	ア	""rank next",,,
"2	哀	アイ、あわ-れ、あわ-れむ	""pity",,,
"3	挨	アイ	""push open""",,,
"4	愛	アイ	""love",,,
"5	曖	アイ	""dark; not clear""",,,
"6	悪	アク、オ、わる-い	""evil",,,
"7	握	アク、にぎ-る	""grasp",,,
"8	圧	アツ	""press",,,
"9	扱	あつか-う	-",,,
"10	宛	あ-てる	-",,,
"11	嵐	あらし	-",,,
"12	安	アン、やす-い	""be rested",,,
"13	案	アン	""proposition",,,
"14	暗	アン、くら-い	dark",,,
"15	以	イ	""with",,,
"16	衣	イ、ころも	garment",,,
"17	位	イ、くらい	""rank",,,
"18	囲	イ、かこ-む、かこ-う	enclosure",,,
"19	医	イ	""medicine",,,
"20	依	イ、[エ]	""depend on""",,,
"21	委	イ、ゆだ-ねる	""entrust to",,,
"22	威	イ	""dignity",,,
"23	為	イ	""change; be of use; reach to""",,,
"24	畏	イ、おそ-れる	""fear",,,
"25	胃	イ	""stomach; paunch",,,
"26	尉	イ	""jailer; old man; rank; company officer""",,,
"27	異	イ、こと	""uncommonness",,,
"28	移	イ、うつ-る、うつ-す	""move",,,
"29	萎	イ、な-える	""wither",,,
"30	偉	イ、えら-い	greatness",,,
"31	椅	イ	chair",,,
"32	彙	イ	""same kind""",,,
"33	意	イ	""mind",,,
"34	違	イ、ちが-う、ちが-える	""differ",,,
"35	維	イ	""tie",,,
"36	慰	イ、なぐさ-める、なぐさ-む	""amuse oneself; make sport of; seduce""",,,
"37	遺	イ、[ユイ]	""leave behind; bequeath; save",,,
"38	緯	イ	""woof; horizontal; left and right; parallels of latitude; latitude""",,,
"39	域	イキ	""region; limits; stage",,,
"40	育	イク、そだ-つ、そだ-てる、はぐく-む	""be raised",,,
"41	一	イチ、イツ、ひと、ひと-つ	""one",,,
"42	壱	イチ	one",,,
"43	逸	イツ	""idleness",,,
"44	茨	[いばら]	""thorn",,,
"45	芋	いも	-",,,
"46	引	イン、ひ-く、ひ-ける	""draw",,,
"47	印	イン、しるし	""seal",,,
"48	因	イン、よ-る	""cause",,,
"49	咽	イン	""be choked",,,
"50	姻	イン	marry",,,
"51	員	イン	""member; number; the one in charge""",,,
"52	院	イン	""mansion; temple; palace; hospital; school; institution; congress; ex-emperor""",,,
"53	淫	イン、みだ-ら	""lewdness",,,
"54	陰	イン、かげ、かげ-る	""the yin principle; negative; melancholy; north side of a mountain; sex organs; secret; shadow; south side of a river; negative electrode; earth; bottom; back; inactivity; nighttime; moon""",,,
"55	飲	イン、の-む	""drinking; feast""",,,
"56	隠	イン、かく-す、かく-れる	""hide",,,
"57	韻	イン	""rhyme; elegance; tone""",,,
"58	右	ウ、ユウ、みぎ	""right",,,
"59	宇	ウ	""eaves; roof; house; heaven""",,,
"60	羽	ウ、は、はね	feather",,,
"61	雨	ウ、あめ、[あま]	""rain",,,
"62	唄	[うた]	-",,,
"63	鬱	ウツ	""gloom",,,
"64	畝	うね	-",,,
"65	浦	うら	-",,,
"66	運	ウン、はこ-ぶ	""destiny",,,
"67	雲	ウン、くも	cloud",,,
"68	永	エイ、なが-い	""long",,,
"69	泳	エイ、およ-ぐ	""swim; totter; keep afloat",,,
"70	英	エイ	""England",,,
"71	映	エイ、うつ-る、うつ-す、は-える	""reflecting; projection""",,,
"72	栄	エイ、さか-える、は-え、は-える	""prosperity",,,
"73	営	エイ、いとな-む	""camp",,,
"74	詠	エイ、よ-む	""poem; song; singing; composing""",,,
"75	影	エイ、かげ	shadow",,,
"76	鋭	エイ、するど-い	""sharpness; edge; (sharp) weapon; picked men (soldiers)",,,
"77	衛	エイ	protection",,,
"78	易	エキ、イ、やさ-しい	""easiness; divination",,,
"79	疫	エキ、[ヤク]	epidemic",,,
"80	益	エキ、[ヤク]	""gain",,,
"81	液	エキ	""liquid",,,
"82	駅	エキ	""post town; stage; station""",,,
"83	悦	エツ	""joy",,,
"84	越	エツ、こ-す、こ-える	""cross; pass; spend; tide over; outrun; exceed; surpass; move; go; come""",,,
"85	謁	エツ	""audience (with a ruler)""",,,
"86	閲	エツ	""inspection",,,
"87	円	エン、まる-い	""circle; yen""",,,
"88	延	エン、の-びる、の-べる、の-ばす	stretching",,,
"89	沿	エン、そ-う	""following along""",,,
"90	炎	エン、ほのお	inflammation",,,
"91	怨	エン、オン	""bear a grudge",,,
"92	宴	エン	""feast",,,
"93	媛	エン	""princess; young lady of noble birth""",,,
"94	援	エン	""help",,,
"95	園	エン、その	""garden",,,
"96	煙	エン、けむ-る、けむり、けむ-い	smoke",,,
"97	猿	エン、さる	monkey",,,
"98	遠	エン、[オン]、とお-い	""far",,,
"99	鉛	エン、なまり	lead(metal)",,,
